STUDY,LTEXP,TRT,LAND_USE,YEAR,REP,DEPTH,TOCs,AGGs,MBCs,PMNs,PHs,Ps,QCO2s,SBDs,Ecs,AWCs,BGs,Ks,WFPSs,SMAFSQI
Soil Ecosystem Services ,Crop Rotation Study,CONSERV,Continuous cropping,2014,1,0to5,0.638,0.857,0.903,0.301,0.723,1,1,0.994,1,0.812,0.117,1,0.978,79.4
Soil Ecosystem Services ,Crop Rotation Study,CONSERV,Continuous cropping,2014,2,0to5,0.612,0.987,0.924,0.223,0.723,1,1,0.994,1,0.83,0.102,1,0.978,79.79
Soil Ecosystem Services ,Crop Rotation Study,CONSERV,Continuous cropping,2014,3,0to5,0.718,1.003,0.962,0.478,0.723,1,1,0.994,1,0.826,0.159,1,0.978,83.4
Soil Ecosystem Services ,Crop Rotation Study,CONSERV,Continuous cropping,2014,4,0to5,0.594,0.977,0.938,0.431,0.83,0.949,1,0.992,1,0.779,0.321,1,0.974,82.97
Soil Ecosystem Services ,Crop Rotation Study,BAU,Spring wheat - Fallow,2014,1,0to5,0.319,0.82,0.986,0.207,0.935,0.947,1,0.93,1,0.731,0.326,1,0.973,78.26
Soil Ecosystem Services ,Crop Rotation Study,BAU,Spring wheat - Fallow,2014,2,0to5,0.398,0.896,0.983,0.217,0.918,0.962,1,0.988,1,0.754,0.201,1,0.977,79.19
Soil Ecosystem Services ,Crop Rotation Study,BAU,Spring wheat - Fallow,2014,3,0to5,0.347,0.918,0.967,0.502,0.951,0.976,1,0.977,1,0.738,0.337,1,0.976,82.22
Soil Ecosystem Services ,Crop Rotation Study,BAU,Spring wheat - Fallow,2014,4,0to5,0.347,0.868,0.976,0.494,0.951,1,1,0.947,1,0.708,0.34,1,0.975,81.58
Soil Ecosystem Services ,Integrated Crop-Livestock Study,CONSERV,Continuous cropping_grazed,2014,1,0to5,0.634,1.006,1,0.763,0.976,1,1,0.919,1,0.707,1,1,0.611,89.36
Soil Ecosystem Services ,Integrated Crop-Livestock Study,CONSERV,Continuous cropping_grazed,2014,2,0to5,0.733,1,1,0.93,0.986,1,1,0.994,1,0.785,1,1,0.769,93.82
Soil Ecosystem Services ,Integrated Crop-Livestock Study,CONSERV,Continuous cropping_grazed,2014,3,0to5,0.671,1,1,0.654,0.935,1,1,0.994,1,0.856,0.757,1,0.947,90.88
Soil Ecosystem Services ,Integrated Crop-Livestock Study,CONSERV,Continuous cropping_grazed,2014,4,0to5,0.776,1,0.999,0.708,0.965,1,1,0.994,1,0.854,0.824,1,0.936,92.73
Soil Ecosystem Services ,Integrated Crop-Livestock Study,BAU,Continuous cropping_ungrazed,2014,1,0to5,0.716,1,1,0.895,1,1,1,0.994,1,0.767,0.914,1,0.865,93.47
Soil Ecosystem Services ,Integrated Crop-Livestock Study,BAU,Continuous cropping_ungrazed,2014,2,0to5,0.861,1,1,0.926,1,1,1,0.994,1,0.82,0.898,1,0.936,95.65
