STUDY,LTEXP,TRT,LAND_USE,YEAR,REP,DEPTH,SBD,POR,SORP,AWHC,WSA,VESS,PH,SLAN,CEC,UREASE,PHOS,BGLU,TFAME,BACSUM,FUNSUM,NO3N,WFPS,TOC
Soil Ecosystem Services ,Crop Rotation Study,CONSERV,Continuous cropping,2014,1,0to5,1.06,0.6,0.11,0.189,33.75,NA,4.9,157.9,19,38.19,7.15,156.68,320.14,82.32,59.95,1.75,0.41,15.45
Soil Ecosystem Services ,Crop Rotation Study,CONSERV,Continuous cropping,2014,2,0to5,1.02,0.62,0.168,0.197,47.25,NA,4.9,170,20.4,44.78,11.48,144.09,333.38,84.07,59.63,1.95,0.42,14.49
Soil Ecosystem Services ,Crop Rotation Study,CONSERV,Continuous cropping,2014,3,0to5,1.01,0.62,0.144,0.196,57.75,NA,4.9,179.6,20.4,44.75,22.3,186.87,408.64,106.72,69.67,3.32,0.41,15.98
Soil Ecosystem Services ,Crop Rotation Study,CONSERV,Continuous cropping,2014,4,0to5,1.16,0.56,0.221,0.176,45.5,NA,5.3,189.5,20.2,49.47,13.24,264.69,303.57,89.28,39.18,1.95,0.47,16.3
Soil Ecosystem Services ,Crop Rotation Study,BAU,Spring wheat - Fallow,2014,1,0to5,1.25,0.53,0.074,0.16,31.25,NA,5.8,110,17.3,68.44,33.28,266.4,343.98,91.41,68.59,1.95,0.48,12.89
Soil Ecosystem Services ,Crop Rotation Study,BAU,Spring wheat - Fallow,2014,2,0to5,1.18,0.55,0.075,0.168,36.75,NA,5.7,115.3,17.9,55.03,19.82,211.08,461.63,101.78,103.98,1.17,0.44,13.49
Soil Ecosystem Services ,Crop Rotation Study,BAU,Spring wheat - Fallow,2014,3,0to5,1.21,0.54,0.047,0.162,38.63,NA,5.9,107.5,18.4,101.47,32.96,270.64,390.4,96.7,81.85,0.88,0.45,12.91
Soil Ecosystem Services ,Crop Rotation Study,BAU,Spring wheat - Fallow,2014,4,0to5,1.24,0.53,0.049,0.154,34.5,NA,5.9,131.2,18.6,75.53,27.57,271.82,345.06,96.72,64,0.88,0.47,13.26
Soil Ecosystem Services ,Integrated Crop-Livestock Study,CONSERV,Continuous cropping_grazed,2014,1,0to5,1.26,0.52,0.116,0.153,55.75,NA,6.1,315,17.7,183.25,140.97,878.97,591.49,146.64,123.68,31.2,0.73,18.33
Soil Ecosystem Services ,Integrated Crop-Livestock Study,CONSERV,Continuous cropping_grazed,2014,2,0to5,1.12,0.58,0.128,0.179,65.38,NA,6.2,318.3,18.4,216.25,146.03,793.22,787.56,205.97,149.35,13.02,0.68,17.95
Soil Ecosystem Services ,Integrated Crop-Livestock Study,CONSERV,Continuous cropping_grazed,2014,3,0to5,0.98,0.63,0.206,0.21,72.88,NA,5.8,394.5,20.2,153.75,89.24,422.66,668.27,173.98,110.64,11.28,0.56,14.7
Soil Ecosystem Services ,Integrated Crop-Livestock Study,CONSERV,Continuous cropping_grazed,2014,4,0to5,1.04,0.61,0.119,0.209,76.13,NA,6,277.9,19.8,176.22,76.92,455.89,502.27,145.57,64.1,3.2,0.58,17.53
Soil Ecosystem Services ,Integrated Crop-Livestock Study,BAU,Continuous cropping_ungrazed,2014,1,0to5,1.1,0.58,0.122,0.172,66.75,NA,6.5,213.6,18.6,163.28,157.29,520.74,414.66,110.1,71.93,15.33,0.64,17.42
